"ticker","entity","concept","fy","fp","form","start","end","days","val","filed","accn","frame"
"HD","The Home Depot, Inc.","RevenueFromContractWithCustomerExcludingAssessedTax","2020","FY","10-K","2018-01-29","2019-02-03","370","108203000000","2021-03-24","0000354950-21-000089","CY2018"
"HD","The Home Depot, Inc.","RevenueFromContractWithCustomerExcludingAssessedTax","2020","Q1","10-Q","2019-02-04","2019-05-05","90","26381000000","2020-05-27","0000354950-20-000041","CY2019Q1"
"HD","The Home Depot, Inc.","RevenueFromContractWithCustomerExcludingAssessedTax","2020","Q2","10-Q","2019-02-04","2019-08-04","181","57220000000","2020-08-25","0000354950-20-000068",""
"HD","The Home Depot, Inc.","RevenueFromContractWithCustomerExcludingAssessedTax","2020","Q2","10-Q","2019-05-06","2019-08-04","90","30839000000","2020-08-25","0000354950-20-000068","CY2019Q2"
"HD","The Home Depot, Inc.","RevenueFromContractWithCustomerExcludingAssessedTax","2020","Q3","10-Q","2019-02-04","2019-11-03","272","84443000000","2020-11-24","0000354950-20-000103",""
"HD","The Home Depot, Inc.","RevenueFromContractWithCustomerExcludingAssessedTax","2020","Q3","10-Q","2019-08-05","2019-11-03","90","27223000000","2020-11-24","0000354950-20-000103","CY2019Q3"
"HD","The Home Depot, Inc.","RevenueFromContractWithCustomerExcludingAssessedTax","2020","FY","10-K","2019-02-04","2020-02-02","363","110225000000","2021-03-24","0000354950-21-000089",""
"HD","The Home Depot, Inc.","RevenueFromContractWithCustomerExcludingAssessedTax","2021","FY","10-K","2019-02-04","2020-02-02","363","110225000000","2022-03-23","0000354950-22-000070","CY2019"
"HD","The Home Depot, Inc.","RevenueFromContractWithCustomerExcludingAssessedTax","2020","Q1","10-Q","2020-02-03","2020-05-03","90","28260000000","2020-05-27","0000354950-20-000041",""
"HD","The Home Depot, Inc.","RevenueFromContractWithCustomerExcludingAssessedTax","2021","Q1","10-Q","2020-02-03","2020-05-03","90","28260000000","2021-05-25","0000354950-21-000147","CY2020Q1"
"HD","The Home Depot, Inc.","RevenueFromContractWithCustomerExcludingAssessedTax","2020","Q2","10-Q","2020-02-03","2020-08-02","181","66313000000","2020-08-25","0000354950-20-000068",""
"HD","The Home Depot, Inc.","RevenueFromContractWithCustomerExcludingAssessedTax","2021","Q2","10-Q","2020-02-03","2020-08-02","181","66313000000","2021-08-24","0000354950-21-000189",""
"HD","The Home Depot, Inc.","RevenueFromContractWithCustomerExcludingAssessedTax","2020","Q2","10-Q","2020-05-04","2020-08-02","90","38053000000","2020-08-25","0000354950-20-000068",""
